Product,Price,Ounces,Source,Price per ounce,Categories
"(Pack of 6) Silk Organic Shelf-Stable Unsweetened Soy Milk, 1 Quart",15.79,192,Walmart,0.082239583,43
"(Pack of 6) Silk Shelf-Stable Vanilla Soy Milk, 1 Quart",15.79,192,Walmart,0.082239583,43
"Fresh Whole Carrots, 1 lb Bag",1.32,16,Walmart,0.0825,14
"Fresh Gala Apples, 3 lb Bag",3.97,48,Walmart,0.082708333,30
"Heinz All Natural Distilled White Vinegar 5% Acidity, 32 fl oz Bottle",2.66,32,Walmart,0.083125,74
"Fresh Baby-Cut Carrots, 2 lb Bag",2.72,32,Walmart,0.085,14
Fresh Sweet Corn on the Cob (1 each),0.68,8,Walmart,0.085,22
"Fresh Produce, Baby Peeled Carrots, 1lb Bag",1.37,16,Walmart,0.085625,14
"Fresh Navel Oranges, 8 lb Bag",10.97,128,Walmart,0.085703125,52
"Great Value Canola Oil, 48 fl oz",4.12,48,Walmart,0.085833333,45
"Bush's Dark Red Kidney Beans, Canned Beans, 16 oz",1.38,16,Walmart,0.08625,12
Domino Premium Pure Cane Light Brown Sugar 4# Zipper-Pak,5.54,64,Walmart,0.0865625,8
"Bush's Great Northern Beans, Canned Beans, 15.8 oz",1.38,15.8,Walmart,0.087341772,13
"Coca-Cola Cherry Mini Soda Pop Soft Drink, 7.5 fl oz, 10 Pack Cans",6.58,75,Walmart,0.087733333,16
"Imperial Vegetable Oil Spread, 45 oz Tub (Refrigerated)",3.97,45,Walmart,0.088222222,9
"Great Value Sweet Corn on the Cob, 6 Count (Frozen)",2.12,24,Walmart,0.088333333,22
Tropicana Homestyle Some Pulp Pure Premium 100% Orange Juice 89 Fl Oz,7.96,89,Walmart,0.089438202,51
"Tropicana Pure Premium 100% Orange Juice, No Pulp with Calcium and Vitamin D, 89 Fl Oz Bottle",7.96,89,Walmart,0.089438202,51
Tropicana Pure Premium No Pulp Original Orange Juice 89 Oz,7.96,89,Walmart,0.089438202,51
"Great Value Frozen Broccoli Florets, 32 oz Bag",2.88,32,Walmart,0.09,7
"Hunts Tomato Sauce, Perfect for Chili & Soups, 15 oz. Can",1.36,15,Walmart,0.090666667,71
"ARM & HAMMER Pure Baking Soda, For Baking, Cleaning & Deodorizing, 1 lb Box",1.47,16,Walmart,0.091875,3
"Fresh Romaine Lettuce Hearts 3 Count, Each",3.86,42,Walmart,0.091904762,41
"GOYA Spanish Style Tomato Sauce, 8 oz Can",0.74,8,Walmart,0.0925,71
"Birds Eye McKenzie's White Creamed Corn, Silver Queen Style Corn, Frozen, 20 oz",1.87,20,Walmart,0.0935,29
"Hunts Petite Diced Tomatoes, Perfect for Chili & Soups, 14.5 oz. Can",1.36,14.5,Walmart,0.093793103,11
"Tropicana Light Orange Juice Beverage, No Pulp, 46 fl oz Bottle",4.34,46,Walmart,0.094347826,51
"Tropicana Pure Premium 100% Orange Juice Original, No Pulp,No Sugar Added, 46 fl oz",4.34,46,Walmart,0.094347826,51
"Birds Eye Extra Sweet Mini Corn On The Cob, Frozen Vegetables, 12-Count",4.54,48,Walmart,0.094583333,22
"Hunts Tomato Sauce, Perfect for Chili & Soups, 8 oz. Can",0.76,8,Walmart,0.095,71
"Great Value Frozen Broccoli Florets Steamable Bag, 12 oz, Organic and Fresh",1.16,12,Walmart,0.096666667,7
"Great Value Organic Granulated Cane Sugar, 2 lb",3.14,32,Walmart,0.098125,68
"Pacific Foods Low Sodium Organic Vegetable Broth, 32 oz Carton",3.18,32,Walmart,0.099375,73
"Fresh Mandarin Oranges, 5 lb Bag",7.97,80,Walmart,0.099625,52
"Marketside Fresh Organic Russet Potatoes, 3 lb Bag",4.84,48,Walmart,0.100833333,60
"BEN'S ORIGINAL Enriched Long Grain White Rice, Parboiled Rice, 5 LB Bag",8.16,80,Walmart,0.102,59
"Green Giant Extra Sweet Corn on The Cob, 12 Count Bag (Frozen Vegetables)",4.93,48,Walmart,0.102708333,22
"Mott's Cinnamon Applesauce, 4 Ounce Cup, 6 Count",2.47,24,Walmart,0.102916667,0
"Fresh Mandarin Oranges, 3 lb Bag",4.97,48,Walmart,0.103541667,52
"Fresh Organic Gala Apples, 3 lb Bag",4.97,48,Walmart,0.103541667,30
"Marketside Organic Yellow Onions Whole Fresh, 3 lb Bag",4.98,48,Walmart,0.10375,49
"Great Value Chopped Spinach, 12 oz (Frozen)",1.26,12,Walmart,0.105,64
"Mott's Cinnamon Applesauce, 4 Ounce Cups, 18 Count",7.58,72,Walmart,0.105277778,0
"Goya Dark Kidney Beans, 15 oz Can",1.58,15,Walmart,0.105333333,12
"Great Value Sugar Cannister, 20 oz",2.12,20,Walmart,0.106,68
"Russet Baking Potatoes Whole Fresh, Each",0.75,7,Walmart,0.107142857,60
"Domino Premium Pure Cane Granulated Sugar, 1 lb Box",1.72,16,Walmart,0.1075,68
