Product,Price,Ounces,Source,Price per ounce,Categories,First unique?
"Birds Eye Steamfresh Broccoli, Carrots, Sugar Snap Peas, Water Chestnuts, Frozen Vegetables, 10.8 oz",1.97,10.8,Walmart,0.182407407,15,9
"Crisco Pure Canola Oil, Gluten-Free",4.79,25.4,Kroger,0.188582677,3,9
Birds Eye Steamfresh Cut Green Beans Frozen Vegetables,1.49,7.842105263,Kroger,0.19,14,9
Birds Eye Baby Sweet Peas Frozen Vegetables,2,10.52631579,Kroger,0.19,15,10
"Welch's Natural Strawberry Spread, 17 oz Jar",3.27,17,Walmart,0.192352941,17,8
"Birds Eye Steamfresh Gold and White Corn, Frozen Vegetables, 10.8 oz. Bag",1.97,10,Walmart,0.197,14,10
"Welch's Natural Strawberry Spread, 18 oz Squeeze Bottle",3.57,18,Walmart,0.198333333,17,9
Prego® Traditional Pasta Sauce,4.79,24,Kroger,0.199583333,0,10
Reynolds Wrap® Heavy Duty Aluminum Foil,4.99,25,Kroger,0.1996,18,11
Reynolds Wrap® Heavy Duty Aluminum Foil,4.99,25,Kroger,0.1996,18,12
"Molina Mexican Vanilla Blend, 8.3 FL OZ",1.68,8.3,Walmart,0.202409639,1,1
Moon Pie Mini Banana,1.29,6,Food City,0.215,0,
Smucker's Strawberry Peanut Butter & Strawberry Jelly Stripes,3.99,18,Food City,0.221666667,1,
"Clabber Girl, Gluten-Free, Double Acting Baking Powder, 22 oz",4.97,22,Walmart,0.225909091,6,1
"Great Value Buttery Smooth Club Crackers, 13.7 oz",3.22,13.7,Walmart,0.235036496,20,1
"OREO Double Stuf Chocolate Sandwich Cookies, Party Size, 24.95 oz",5.98,24.95,Walmart,0.239679359,16,1
"Baker's Kosher Imitation Vanilla Flavor, 8 fl oz Bottle",1.92,8,Walmart,0.24,1,2
OREO Double Stuf Chocolate Sandwich Cookies Family Size,4.49,18.70833333,Kroger,0.24,16,2
"Great Value Double Acting Baking Powder, 8.1 oz",1.98,8.1,Walmart,0.244444444,6,2
